CCAA;Superficie_agricola_%;Regadio_%;Cultivos_dominantes;Agricultura_ecológica_%;Número_explotaciones;Producción_millones_agricultura;Bovino_cabezas;Porcino_cabezas;Ovino_cabezas;Caprino_cabezas;Avicola_cabezas;Ganadería_intensiva_%;Producción_millones_ganaderia;Superficie_protegida;Cobertura_forestal_%;Incendios_ult_5_años;Ha_quemadas_ult_5_años;Produccion_renovable_MW;Renovables_%_consumo;CO2_agro_estimado_tn;Balance_hidrico_mm;Indice_calidad_aire;Poblacion;Densidad_población_(hab/km^2);Porcentaje_estudios_superiores;Medicos_por_1000hab;Tasa de desempleo;Tasa_riesgo_pobreza_%;Precio_m2_vivienda_eur
Andalucía;54;30;Olivar, hortícolas;30;267717;10500;800000;2630000;3250000;790000;24000000;50;2500;1600000;30;3000;50000;7000;20;4000000;-350;75;8619616;98.8;35;3.7;19;32;1500
Aragón;46.5;22.8;Cereal, frutales;5;42038;4200;402000;9613000;1400000;100000;9000000;80;1100;1000000;35;1500;40000;6000;25;5000000;-200;80;1324000;27.7;38;3.8;10;18;1200
Principado de Asturias;46.5;1.6;Pradera, manzana;2;21926;1100;241000;11450;240000;3500;500000;10;300;300000;72;500;10000;1000;50;100000;100;85;1004000;94.8;42;5;12;20;1300
Cantabria;62;9.6;Pradera, maíz;1.5;9391;900;295000;2583;210000;1500;300000;10;400;300000;68;200;5000;600;60;50000;200;90;584000;109.6;40;4.5;11;18;1250
Castilla-La Mancha;64.4;16.1;Cereal, viñedo;14;117760;6800;398000;1839000;2154000;435000;7000000;50;1300;1000000;30;1000;20000;8000;20;3000000;-250;80;2049000;25.8;30;3;14;28;1100
Castilla y León;69.2;12.9;Cereal, girasol;5;90036;4500;1410000;4200000;2539000;180000;24700000;30;2000;1200000;50;3000;70000;8000;40;5000000;-50;85;2094000;22.2;36;4.8;10;16;1300
Cataluña/Catalunya;52.2;31;Cereal, frutales;15;56701;4200;584000;7800000;600000;80000;46900000;80;5000;600000;40;500;10000;4500;25;6000000;-100;75;8012231;249.6;45;4.4;10.5;15;2400
Comunitat Valenciana;36.9;45.2;Cítricos, hortalizas;10;111425;5000;398000;900000;350000;80000;12000000;90;1200;500000;35;1500;20000;3000;22;3000000;-200;80;5120000;220.2;38;3.5;13;26;1800
Extremadura;73.9;25.7;Olivar, cereal;5.1;61626;1800;398000;1400000;3500000;440000;4500000;20;900;800000;32;300;30000;3500;35;2000000;-150;85;1051000;25.2;33;3.2;18;30;1000
Galicia;29.2;4.8;Pradera, maíz;2.5;74994;1100;295000;1200000;450000;50000;10000000;5;600;700000;48;4000;35000;4000;45;2000000;-50;90;2701000;91.3;40;4;11;22;1400
Comunidad de Madrid;46.9;8.5;Cereal, hortícolas;5;7417;1200;70000;150000;250000;30000;1500000;70;500;150000;50;100;5000;1000;10;100000;-300;70;6800000;847;50;5;11;15;3300
Región de Murcia;44.4;38.1;Hortícolas, frutales;23.3;29101;3500;95000;2500000;400000;120000;8000000;85;1200;300000;20;150;8000;2200;25;1500000;-250;80;1554000;137.2;32;3.6;12;27;1700
Comunidad Foral de Navarra;76.6;31.6;Cereal, hortícolas;7.4;14583;1300;120000;800000;400000;20000;1500000;50;700;200000;32;50;1000;1400;40;400000;-100;85;661000;63.6;45;4.5;8;12.5;1800
País Vasco/Euskadi;34.4;6.7;Pradera, maíz;4;15564;1200;150000;90000;120000;10000;500000;30;600;250000;55;100;500;1100;20;300000;100;80;2260000;312.6;48;4.7;9;13;2700
La Rioja;67.8;27.4;Viñedo, cereal;7;9362;900;70000;450000;200000;10000;400000;30;500;150000;45;80;2000;900;30;200000;-100;85;319000;63.2;40;4.2;10;14;1500
Illes Balears;48.1;13.2;Almendro, cereal;6;10101;900;50000;250000;300000;15000;500000;5;300;300000;60;200;5000;300;10;200000;-200;85;1223000;244.9;39;3.7;9.5;17;3000
